type,level,sample,pheno,covs,LRT,Pval,"('V(O)', 'SE')","('V(O)', 'Variance')","('V(O)/Vp', 'SE')","('V(O)/Vp', 'Variance')","('V(e)', 'SE')","('V(e)', 'Variance')","('Vp', 'SE')","('Vp', 'Variance')",df,logL0,n
func,EClevel3_common_clrcheck,174_sample,mats_indication,no_covs,0,0.5,0.005852,0,0.023317,1.00E-06,0.027467,0.250983,0.026986,0.250983,1,30.439,174
func,EClevel3_common_clrcheck,174_sample,mats_indication,sex_ASD_age_dietPC_bristol,0.134,0.3571364,0.013597,0.005257,0.052676,0.020514,0.029866,0.251013,0.029218,0.256271,1,7.743,165
func,EClevel3_common_clrcheck,174_sample,mats_indication,sex_ASD_mia_indication_age_dietPC_bristol,0.238,0.3129236,0.01543,0.007289,0.059084,0.028229,0.030115,0.250908,0.029733,0.258197,1,5.359,165
func,EClevel3_common_clrcheck,174_sample,mats_indication,sex_age_dietPC,0.019,0.4450467,0.006349,0.000853,0.025178,0.003383,0.028002,0.251214,0.02751,0.252067,1,14.924,174
func,EClevel3_common_clrcheck,174_sample,mats_indication,sex_age_dietPC_bristol,0.171,0.3395995,0.01499,0.006699,0.058059,0.026215,0.029674,0.24884,0.029205,0.255539,1,10.077,165
func,EClevel3_common_clrcheck,174_sample,mats_number,age_sex,0,0.5,0.045064,2.00E-06,0.028455,1.00E-06,0.174276,1.583707,0.17129,1.583709,1,-133.527,174
func,EClevel3_common_clrcheck,174_sample,mats_number,age_sex_dietPC,0,0.5,0.045434,2.00E-06,0.028572,1.00E-06,0.17698,1.590152,0.173507,1.590154,1,-140.037,174
func,EClevel3_common_clrcheck,174_sample,mats_number,no_covs,0,0.5,0.056992,2.00E-06,0.035966,1.00E-06,0.173909,1.584608,0.170378,1.58461,1,-129.851,174
func,EClevel3_common_clrcheck,174_sample,me_indication,age_sex_dietPC,0,0.5,0.006609,0,0.028905,1.00E-06,0.025503,0.228646,0.024948,0.228646,1,22.926,174
func,EClevel3_common_clrcheck,174_sample,me_indication,no_covs,0,0.5,0.00615,0,0.027115,1.00E-06,0.024888,0.226796,0.024385,0.226796,1,39.097,174
func,EClevel3_common_clrcheck,174_sample,me_indication,sex_ASD_age_dietPC_bristol,0,0.5,0.005632,0,0.025119,1.00E-06,0.025853,0.224232,0.025309,0.224232,1,17.971,165
func,EClevel3_common_clrcheck,174_sample,me_number,age_sex,0,0.5,0.112067,2.00E-06,0.053461,1.00E-06,0.226698,2.096242,0.226852,2.096245,1,-162.489,174
func,EClevel3_common_clrcheck,174_sample,me_number,age_sex_dietPC,0,0.5,0.092804,2.00E-06,0.044399,1.00E-06,0.230475,2.090233,0.22811,2.090235,1,-165.434,174
func,EClevel3_common_clrcheck,174_sample,me_number,no_covs,0,0.5,0.129213,2.00E-06,0.063856,1.00E-06,0.217335,2.02351,0.21757,2.023512,1,-158.134,174
func,EClevel3_common_clrcheck,174_sample,meds_antipsychotic,age_sex,0.067,0.3979407,0.000493,9.50E-05,0.017406,0.003346,0.003082,0.0282,0.00306,0.028295,1,210.925,174
func,EClevel3_common_clrcheck,174_sample,meds_antipsychotic,age_sex_dietPC,0,0.5,0.000417,0,0.015115,1.00E-06,0.003037,0.027579,0.003009,0.027579,1,200.781,174
func,EClevel3_common_clrcheck,174_sample,meds_antipsychotic,no_covs,0.047,0.4140974,0.000468,7.70E-05,0.01666,0.002745,0.00304,0.02799,0.003018,0.028067,1,219.986,174
func,EClevel3_common_clrcheck,174_sample,meds_gastrointestinal,age_sex,0.008,0.4649672,0.00223,0.000203,0.023759,0.002165,0.010334,0.093619,0.010148,0.093822,1,108.454,174
func,EClevel3_common_clrcheck,174_sample,meds_gastrointestinal,age_sex_dietPC,0.005,0.471283,0.002101,0.000151,0.02216,0.001589,0.01052,0.094671,0.010347,0.094822,1,97.046,174
func,EClevel3_common_clrcheck,174_sample,meds_gastrointestinal,no_covs,0.146,0.3511425,0.003414,0.001104,0.036444,0.011823,0.010258,0.092252,0.010069,0.093355,1,116.109,174
func,EClevel3_common_clrcheck,174_sample,mia_indication,no_covs,0.426,0.25691,0.007041,0.002942,0.030203,0.01267,0.025214,0.22922,0.025021,0.232162,1,37.183,174
func,EClevel3_common_clrcheck,174_sample,mia_indication,sex_ASD_age_dietPC_bristol,1.056,0.152078,0.008724,0.004957,0.039597,0.022708,0.024798,0.21333,0.024793,0.218286,1,19.929,165
func,EClevel3_common_clrcheck,174_sample,mia_indication,sex_ASD_mats_indication_age_dietPC_bristol,1.146,0.142208,0.009158,0.005344,0.041299,0.024348,0.025011,0.214142,0.025033,0.219486,1,17.39,165
func,EClevel3_common_clrcheck,174_sample,mia_indication,sex_age_dietPC,0.438,0.2539514,0.006915,0.002917,0.030465,0.012906,0.024896,0.223111,0.02472,0.226028,1,24.017,174
func,EClevel3_common_clrcheck,174_sample,mia_indication,sex_age_dietPC_bristol,1.093,0.1478974,0.008828,0.005095,0.039343,0.022922,0.025156,0.217166,0.025165,0.22226,1,20.551,165
func,EClevel3_common_clrcheck,174_sample,mia_number,age_sex,0,0.5,0.020099,1.00E-06,0.034345,1.00E-06,0.064416,0.58522,0.063301,0.58522,1,-48.944,174
func,EClevel3_common_clrcheck,174_sample,mia_number,age_sex_dietPC,0,0.5,0.023562,1.00E-06,0.044985,1.00E-06,0.05735,0.52377,0.057161,0.523771,1,-49.84,174
func,EClevel3_common_clrcheck,174_sample,mia_number,no_covs,0,0.5,0.021949,1.00E-06,0.038078,1.00E-06,0.062969,0.576425,0.061978,0.576425,1,-42.935,174
func,EClevel3_common_clrcheck,174_sample,participant_type,age_sex,0,0.5,0.03113,1.00E-06,0.054113,1.00E-06,0.062599,0.575268,0.062253,0.575269,1,-51.514,174
func,EClevel3_common_clrcheck,174_sample,participant_type,age_sex_dietPC,0,0.5,0.026592,1.00E-06,0.046318,1.00E-06,0.063069,0.574112,0.062655,0.574112,1,-57.496,174
func,EClevel3_common_clrcheck,174_sample,participant_type,no_covs,0,0.5,0.013689,1.00E-06,0.020351,1.00E-06,0.073214,0.672615,0.07232,0.672615,1,-54.848,174
func,EClevel3_common_clrcheck,174_sample,sex,age,0,0.5,0.005649,0,0.024347,1.00E-06,0.025457,0.232022,0.025021,0.232022,1,33.012,174
func,EClevel3_common_clrcheck,174_sample,sex,no_covs,0,0.5,0.004701,0,0.020238,1.00E-06,0.025367,0.232285,0.024976,0.232286,1,37.183,174
func,EClevel3_common_clrcheck,174_sample,sleep_cshq_total,age_sex,0,0.5,3.439117,8.90E-05,0.040115,1.00E-06,9.701564,85.732183,9.645674,85.732272,1,-440.988,161
func,EClevel3_common_clrcheck,174_sample,sleep_cshq_total,age_sex_dietPC,0,0.5,3.291679,8.90E-05,0.038711,1.00E-06,9.709322,85.032543,9.657197,85.032632,1,-440.22,161
func,EClevel3_common_clrcheck,174_sample,sleep_cshq_total,no_covs,0,0.5,4.3808,8.90E-05,0.051872,1.00E-06,9.506215,84.454501,9.437215,84.45459,1,-441.357,161
func,EClevel3_common_clrcheck,full_bristol,mats_indication,no_covs,0.019,0.4453979,0.007388,0.001114,0.029403,0.004438,0.028369,0.249997,0.027744,0.251111,1,28.772,165
func,EClevel3_common_clrcheck,full_bristol,mats_indication,sex_age_dietPC,0.191,0.3311027,0.012156,0.004715,0.047441,0.018516,0.029337,0.249909,0.028768,0.254624,1,12.772,165
func,EClevel3_common_clrcheck,full_bristol,mia_indication,no_covs,0.477,0.244827,0.006629,0.002854,0.028821,0.012459,0.025492,0.226213,0.025343,0.229067,1,36.195,165
func,EClevel3_common_clrcheck,full_bristol,mia_indication,sex_age_dietPC,0.457,0.2496119,0.006735,0.002864,0.029864,0.01275,0.025398,0.221735,0.025239,0.224598,1,22.495,165
func,EClevel3_common_clrcheck,no_aap,mats_indication,no_covs,0,0.5,0.007824,0,0.031302,1.00E-06,0.027791,0.249943,0.027271,0.249944,1,29.412,169
func,EClevel3_common_clrcheck,no_aap,mats_indication,sex_age_dietPC,0,0.5,0.005966,0,0.023494,1.00E-06,0.02864,0.25395,0.02813,0.25395,1,13.462,169
func,EClevel3_common_clrcheck,no_aap,mia_indication,no_covs,0.159,0.3449006,0.005974,0.001742,0.025895,0.007563,0.025423,0.228555,0.025148,0.230297,1,36.761,169
func,EClevel3_common_clrcheck,no_aap,mia_indication,sex_age_dietPC,0.249,0.3089328,0.006186,0.002129,0.027295,0.009417,0.025297,0.22392,0.025068,0.226048,1,22.942,169
func,EClevel3_common_clrcheck,no_asd,mats_indication,no_covs,0,0.5,0.049027,0,0.201218,1.00E-06,0.066057,0.243648,0.055176,0.243649,1,5.391,40
func,EClevel3_common_clrcheck,no_asd,mats_indication,sex_age_dietPC,0,0.5,0.060796,0,0.230808,1.00E-06,0.080514,0.263405,0.063622,0.263406,1,-5.374,40
func,EClevel3_common_clrcheck,no_asd,mia_indication,no_covs,0.251,0.3081597,0.025778,0.009011,0.109468,0.038692,0.054665,0.223881,0.053001,0.232892,1,7.034,40
func,EClevel3_common_clrcheck,no_asd,mia_indication,sex_age_dietPC,0.099,0.3763612,0.019967,0.004631,0.083044,0.01932,0.05987,0.23504,0.058152,0.239671,1,-3.213,40
func,EClevel3_common_clrcheck,no_current_ab,mats_indication,no_covs,0,0.5,0.007288,0,0.029182,1.00E-06,0.028118,0.249743,0.027664,0.249743,1,28.629,164
func,EClevel3_common_clrcheck,no_current_ab,mats_indication,sex_age_dietPC,0,0.5,0.0061,0,0.024179,1.00E-06,0.028907,0.252297,0.028386,0.252297,1,13.081,164
func,EClevel3_common_clrcheck,no_current_ab,mia_indication,no_covs,1.108,0.1462447,0.010375,0.005915,0.04501,0.025947,0.025495,0.222035,0.025511,0.22795,1,36.386,164
func,EClevel3_common_clrcheck,no_current_ab,mia_indication,sex_age_dietPC,1.025,0.1556165,0.008697,0.004853,0.039415,0.022196,0.024761,0.213781,0.024757,0.218634,1,24.277,164
func,EClevel3_common_clrcheck,no_gastro_meds,mats_indication,no_covs,0,0.5,0.008951,0,0.035809,1.00E-06,0.029233,0.249969,0.028395,0.249969,1,27.119,156
func,EClevel3_common_clrcheck,no_gastro_meds,mats_indication,sex_age_dietPC,0,0.5,0.006846,0,0.02791,1.00E-06,0.029123,0.245297,0.028325,0.245298,1,13.967,156
func,EClevel3_common_clrcheck,no_gastro_meds,mia_indication,no_covs,0.244,0.3108069,0.007908,0.00276,0.03353,0.011742,0.027101,0.232292,0.026756,0.235052,1,32.185,156
func,EClevel3_common_clrcheck,no_gastro_meds,mia_indication,sex_age_dietPC,0.569,0.225238,0.010515,0.005018,0.045112,0.021705,0.027126,0.22618,0.026884,0.231198,1,18.43,156
func,EClevel3_common_clrcheck,no_probiotic,mats_indication,no_covs,0,0.5,0.016729,0,0.071018,1.00E-06,0.029597,0.235552,0.028995,0.235553,1,22.645,133
func,EClevel3_common_clrcheck,no_probiotic,mats_indication,sex_age_dietPC,0,0.5,0.018454,0,0.076426,1.00E-06,0.031363,0.241464,0.030301,0.241464,1,6.816,133
func,EClevel3_common_clrcheck,no_probiotic,mia_indication,no_covs,0.578,0.223469,0.009538,0.004413,0.040469,0.018849,0.029134,0.229715,0.028928,0.234128,1,27.289,133
func,EClevel3_common_clrcheck,no_probiotic,mia_indication,sex_age_dietPC,1.184,0.1382243,0.011547,0.00678,0.049128,0.0292,0.029342,0.225406,0.029373,0.232186,1,13.058,133
func,EClevel3_common_clrcheck,no_sib,mats_indication,no_covs,0,0.5,0.007901,0,0.031368,1.00E-06,0.03204,0.251887,0.031123,0.251887,1,22.363,132
func,EClevel3_common_clrcheck,no_sib,mats_indication,sex_age_dietPC,0.106,0.3722961,0.014675,0.00482,0.057478,0.01899,0.033152,0.248978,0.032217,0.253798,1,7.476,132
func,EClevel3_common_clrcheck,no_sib,mia_indication,no_covs,0,0.5,0.005828,0,0.023799,1.00E-06,0.030793,0.244907,0.030261,0.244907,1,24.208,132
func,EClevel3_common_clrcheck,no_sib,mia_indication,sex_age_dietPC,0.001,0.4878522,0.006185,0.000181,0.02585,0.000755,0.030703,0.239055,0.030142,0.239235,1,11.052,132
func,EClevel4_common_clrcheck,174_sample,ASD,age_sex,0,0.5,0.026758,0,0.121367,1.00E-06,0.031364,0.220467,0.023886,0.220468,1,30.771,174
func,EClevel4_common_clrcheck,174_sample,ASD,age_sex_dietPC,0,0.5,0.026433,0,0.121576,1.00E-06,0.03153,0.217417,0.02376,0.217417,1,23.66,174
func,EClevel4_common_clrcheck,174_sample,ASD,no_covs,0,0.5,0.0146,0,0.058447,1.00E-06,0.029831,0.249801,0.026859,0.249801,1,30.623,174
func,EClevel4_common_clrcheck,174_sample,age,no_covs,40.262,1.11E-10,3.08054,10.68248,0.115754,0.647794,1.526177,5.808069,2.30054,16.490548,1,-326.671,174
func,EClevel4_common_clrcheck,174_sample,age,sex,40.067,1.23E-10,3.169714,11.117662,0.115039,0.665493,1.536084,5.588231,2.357871,16.705894,1,-326.635,174
func,EClevel4_common_clrcheck,174_sample,bmi,age_sex,0.027,0.4351273,0.440671,0.058613,0.036804,0.004897,1.354673,11.910636,1.294619,11.96925,1,-306.113,174
func,EClevel4_common_clrcheck,174_sample,bmi,age_sex_dietPC,0.003,0.4790956,0.410552,0.018562,0.033894,0.001533,1.37887,12.093646,1.321591,12.112208,1,-310.352,174
func,EClevel4_common_clrcheck,174_sample,bmi,no_covs,0,0.5,1.24088,1.60E-05,0.077619,1.00E-06,2.034794,15.986772,1.718911,15.986788,1,-329.435,174
func,EClevel4_common_clrcheck,174_sample,bristol_regroup,age_sex,7.541,0.003015433,0.166738,0.303278,0.158536,0.339915,0.11869,0.58894,0.118149,0.892218,1,-75.345,165
func,EClevel4_common_clrcheck,174_sample,bristol_regroup,age_sex_dietPC,6.975,0.004133867,0.16221,0.278908,0.159576,0.31852,0.118794,0.596728,0.115618,0.875635,1,-81.532,165
func,EClevel4_common_clrcheck,174_sample,bristol_regroup,no_covs,8.573,0.001705508,0.167239,0.321812,0.155651,0.357761,0.116928,0.577705,0.118947,0.899518,1,-70.987,165
func,EClevel4_common_clrcheck,174_sample,cam_probiotic,age_sex,0,0.5,0.00796,0,0.044936,1.00E-06,0.020229,0.177152,0.019162,0.177153,1,53.719,174
func,EClevel4_common_clrcheck,174_sample,cam_probiotic,age_sex_dietPC,0,0.5,0.00851,0,0.047632,1.00E-06,0.020654,0.178665,0.019498,0.178665,1,43.35,174
func,EClevel4_common_clrcheck,174_sample,cam_probiotic,no_covs,0,0.5,0.011471,0,0.064878,1.00E-06,0.020628,0.176814,0.019011,0.176814,1,58.699,174
func,EClevel4_common_clrcheck,174_sample,devq_wisc_msel,age_sex,0,0.5,30.74662,0.00049,0.0632,1.00E-06,62.265211,486.498473,55.998311,486.498963,1,-551.075,154
func,EClevel4_common_clrcheck,174_sample,devq_wisc_msel,age_sex_dietPC,0,0.5,37.081454,0.00049,0.078044,1.00E-06,64.673164,475.13757,55.245278,475.138059,1,-546.684,154
func,EClevel4_common_clrcheck,174_sample,devq_wisc_msel,no_covs,0,0.5,28.8147,0.00049,0.058988,1.00E-06,61.460942,488.48107,55.846901,488.48156,1,-552.878,154
func,EClevel4_common_clrcheck,174_sample,dietPC1,age_sex,2.366,0.0619898,0.39476,0.740353,0.17287,0.397597,0.254678,1.121718,0.258844,1.862071,1,-136.786,174
func,EClevel4_common_clrcheck,174_sample,dietPC1,no_covs,7.519,0.003052668,0.492236,1.3972,0.142854,0.615899,0.251913,0.871352,0.33864,2.268552,1,-140.773,174
func,EClevel4_common_clrcheck,174_sample,dietPC1_preadj,age_sex,2.964,0.04256032,0.397556,0.800405,0.169421,0.429211,0.248379,1.064424,0.262436,1.864829,1,-135.811,174
func,EClevel4_common_clrcheck,174_sample,dietPC1_preadj,no_covs,2.781,0.04768712,0.382957,0.768445,0.167267,0.41905,0.24234,1.065335,0.254159,1.83378,1,-130.501,174
func,EClevel4_common_clrcheck,174_sample,dietPC2,age_sex,0.008,0.4634139,0.121857,0.018023,0.063309,0.009371,0.234852,1.905173,0.208189,1.923196,1,-149.757,174
func,EClevel4_common_clrcheck,174_sample,dietPC2,no_covs,0.067,0.3981579,0.201462,0.098259,0.103687,0.051134,0.255118,1.823347,0.210066,1.921607,1,-145.084,174
func,EClevel4_common_clrcheck,174_sample,dietPC2_preadj,age_sex,0.105,0.3730183,0.170492,0.064713,0.090078,0.034409,0.242967,1.815983,0.205217,1.880696,1,-147.631,174
func,EClevel4_common_clrcheck,174_sample,dietPC2_preadj,no_covs,0.049,0.4125031,0.122999,0.030214,0.06619,0.016291,0.225401,1.824478,0.199775,1.854692,1,-142.46,174
func,EClevel4_common_clrcheck,174_sample,dietPC3,age_sex,0,0.5,0.116138,2.00E-06,0.079016,1.00E-06,0.1884,1.469798,0.159025,1.469799,1,-127.405,174
func,EClevel4_common_clrcheck,174_sample,dietPC3,no_covs,0.432,0.2555617,0.155589,0.10697,0.099161,0.069407,0.196337,1.434233,0.169091,1.541203,1,-125.859,174
func,EClevel4_common_clrcheck,174_sample,dietPC3_preadj,age_sex,0,0.5,0.109054,1.00E-06,0.076485,1.00E-06,0.183132,1.425823,0.154246,1.425824,1,-124.502,174
func,EClevel4_common_clrcheck,174_sample,dietPC3_preadj,no_covs,0,0.5,0.105177,1.00E-06,0.074663,1.00E-06,0.178902,1.408687,0.151463,1.408689,1,-119.06,174
func,EClevel4_common_clrcheck,174_sample,mats_indication,no_covs,0.052,0.4094825,0.015011,0.00353,0.059654,0.014051,0.029947,0.247711,0.027046,0.251241,1,30.439,174
func,EClevel4_common_clrcheck,174_sample,mats_indication,sex_ASD_age_dietPC_bristol,0.765,0.1908684,0.028954,0.019399,0.110321,0.075414,0.034916,0.237831,0.02976,0.257229,1,7.743,165
func,EClevel4_common_clrcheck,174_sample,mats_indication,sex_ASD_mia_indication_age_dietPC_bristol,0.873,0.175041,0.030144,0.020882,0.113924,0.080681,0.03545,0.237937,0.030132,0.258818,1,5.359,165
func,EClevel4_common_clrcheck,174_sample,mats_indication,sex_age_dietPC,0.277,0.2992389,0.018182,0.007407,0.071678,0.029354,0.03089,0.244915,0.02766,0.252321,1,14.924,174
func,EClevel4_common_clrcheck,174_sample,mats_indication,sex_age_dietPC_bristol,0.796,0.1860956,0.02942,0.020167,0.112389,0.078704,0.034838,0.236066,0.029616,0.256232,1,10.077,165
func,EClevel4_common_clrcheck,174_sample,mats_number,age_sex,0,0.5,0.069246,2.00E-06,0.043703,1.00E-06,0.180817,1.584481,0.171387,1.584483,1,-133.527,174
func,EClevel4_common_clrcheck,174_sample,mats_number,age_sex_dietPC,0,0.5,0.069814,2.00E-06,0.043934,1.00E-06,0.182884,1.58905,0.173408,1.589051,1,-140.037,174
func,EClevel4_common_clrcheck,174_sample,mats_number,no_covs,0,0.5,0.088836,2.00E-06,0.05633,1.00E-06,0.181314,1.577064,0.169567,1.577066,1,-129.851,174
func,EClevel4_common_clrcheck,174_sample,me_indication,age_sex_dietPC,0,0.5,0.016061,0,0.070928,1.00E-06,0.027913,0.226437,0.024718,0.226437,1,22.926,174
func,EClevel4_common_clrcheck,174_sample,me_indication,no_covs,0,0.5,0.015546,0,0.069372,1.00E-06,0.027097,0.224094,0.024095,0.224094,1,39.097,174
func,EClevel4_common_clrcheck,174_sample,me_indication,sex_ASD_age_dietPC_bristol,0,0.5,0.014526,0,0.064952,1.00E-06,0.02838,0.22364,0.02525,0.22364,1,17.971,165
func,EClevel4_common_clrcheck,174_sample,me_number,age_sex,0,0.5,0.154635,2.00E-06,0.070958,1.00E-06,0.26094,2.179239,0.235843,2.179242,1,-162.489,174
func,EClevel4_common_clrcheck,174_sample,me_number,age_sex_dietPC,0,0.5,0.126537,2.00E-06,0.05934,1.00E-06,0.252204,2.132384,0.232756,2.132386,1,-165.434,174
func,EClevel4_common_clrcheck,174_sample,me_number,no_covs,0,0.5,0.181071,2.00E-06,0.085087,1.00E-06,0.260995,2.128053,0.22881,2.128055,1,-158.134,174
func,EClevel4_common_clrcheck,174_sample,meds_antipsychotic,age_sex,0.002,0.4845456,0.000808,2.50E-05,0.028536,0.000894,0.003158,0.028275,0.003061,0.0283,1,210.925,174
func,EClevel4_common_clrcheck,174_sample,meds_antipsychotic,age_sex_dietPC,0,0.5,0.000854,0,0.030967,1.00E-06,0.003108,0.027567,0.003008,0.027567,1,200.781,174
func,EClevel4_common_clrcheck,174_sample,meds_antipsychotic,no_covs,0,0.5,0.000783,0,0.027892,1.00E-06,0.003111,0.028069,0.003018,0.028069,1,219.986,174
func,EClevel4_common_clrcheck,174_sample,meds_gastrointestinal,age_sex,2.266,0.06611178,0.016456,0.023297,0.151378,0.236439,0.01334,0.075237,0.012081,0.098535,1,108.454,174
func,EClevel4_common_clrcheck,174_sample,meds_gastrointestinal,age_sex_dietPC,2.033,0.07695384,0.016494,0.022326,0.15165,0.224916,0.01361,0.076938,0.012192,0.099264,1,97.046,174
func,EClevel4_common_clrcheck,174_sample,meds_gastrointestinal,no_covs,3.096,0.03924884,0.015852,0.022864,0.1477,0.234824,0.012979,0.074504,0.011802,0.097368,1,116.109,174
func,EClevel4_common_clrcheck,174_sample,mia_indication,no_covs,0.553,0.2286125,0.015312,0.007559,0.06552,0.032548,0.027441,0.224687,0.025075,0.232247,1,37.183,174
func,EClevel4_common_clrcheck,174_sample,mia_indication,sex_ASD_age_dietPC_bristol,2.201,0.06893843,0.024803,0.021113,0.109846,0.096254,0.029045,0.198234,0.025514,0.219347,1,19.929,165
func,EClevel4_common_clrcheck,174_sample,mia_indication,sex_ASD_mats_indication_age_dietPC_bristol,2.304,0.0645258,0.025627,0.022074,0.11267,0.100048,0.029463,0.198555,0.025803,0.220628,1,17.39,165
func,EClevel4_common_clrcheck,174_sample,mia_indication,sex_age_dietPC,0.923,0.1682942,0.018747,0.011508,0.081804,0.05083,0.027884,0.214897,0.024966,0.226406,1,24.017,174
func,EClevel4_common_clrcheck,174_sample,mia_indication,sex_age_dietPC_bristol,2.19,0.06947486,0.02467,0.020888,0.107452,0.09356,0.029322,0.202368,0.025844,0.223256,1,20.551,165
func,EClevel4_common_clrcheck,174_sample,mia_number,age_sex,0.919,0.1688401,0.102311,0.113808,0.155469,0.185229,0.087653,0.500609,0.074029,0.614417,1,-48.944,174
